Type,kittiSeq,vehicleId,valSeqNo,Augmentation,Seq Loss
Training,4,2,1,False,38.25437938590539
Training,4,2,2,False,57.764231544099786
Training,4,2,3,False,56.10072796621937
Training,4,2,4,False,57.05092202693322
Training,8,8,6,False,85.092388501335
Training,8,8,7,False,90.44026948680673
Training,8,8,8,False,40.15850115418125
Training,8,8,9,False,34.39641160799631
Training,8,8,10,False,50.22247678398951
Training,8,13,11,False,20.900493657858778
Training,8,13,12,False,28.466015844225524
Training,8,13,13,False,36.976920988718476
Training,20,0,21,False,18.058349579866665
Training,20,0,22,False,42.11087336873372
Training,20,3,24,False,12.05833674781698
Training,20,5,25,False,3.2501798922908036
Training,20,5,26,False,41.22083370131564
Training,20,7,27,False,29.05087641588031
Training,20,9,28,False,16.171514556923277
Training,20,12,30,False,2.8611756961954447
Training,20,12,31,False,2.251465704017928
Training,20,12,32,False,2.1849042235266394
Training,20,12,33,False,3.5091356460548466
Training,20,12,34,False,2.3048906958278814
Training,20,12,35,False,4.554997691149947
Training,20,12,36,False,2.6701880936106264
Training,20,12,37,False,4.011769707118316
Training,20,12,38,False,3.70552602409879
Training,20,13,39,False,2.943168433767884
Training,20,13,40,False,2.8664465711794676
Training,20,15,41,False,2.7378414685836803
Training,20,16,42,False,3.2371716758476685
Training,20,16,43,False,2.58266598802715
Training,20,16,44,False,2.77665582889451
Training,20,19,45,False,2.3194615817337065
Training,20,55,49,False,3.0533348513210132
Training,20,122,57,False,2.7052569664760027
Training,84,2,58,False,3.350460735660414
Training,84,3,59,False,1.9
Training,84,5,60,False,2.1571091166354774
Training,84,14,64,False,2.341048618408768
Training,84,14,65,False,1.9971909604639422
Training,84,48,69,False,1.4198652866557369
Training,5,31,77,False,2.8848396638835085
Training,9,16,82,False,1.8483905724934917
Training,6,12,97,False,1.680718744858614
Training,10,0,98,False,1.8436912597118442
Training,10,0,99,False,1.3614509606335339
Training,10,0,100,False,1.6465325217775277
Training,10,0,101,False,1.3309433519321288
Training,18,1,105,False,1.1021601883432528
Training,18,2,106,False,1.3155759647743916
Training,18,2,107,False,1.3101672185583593
Training,18,2,108,False,1.3281152949374526
Training,18,2,109,False,1.025
Training,18,3,110,False,0.8844550900307684
Training,18,3,111,False,1.434102651789313
Training,18,3,112,False,0.7753834930466159
Training,18,3,113,False,1.0217514421272202
Training,18,6,114,False,0.881066017177982
Training,18,16,115,False,0.9428694160529716
Training,3,0,120,False,1.0359031498464306
Training,3,1,121,False,1.2526531415647149
Training,7,11,124,False,0.9960941711652704
Training,11,0,138,False,1.188908729652601
Training,11,0,139,False,1.2278174593052023
Training,11,0,140,False,1.3210155108391486
Training,11,0,141,False,1.258719158742697
Training,11,28,145,False,0.775
Training,11,39,149,False,2.220819568193579
Training,11,43,151,False,0.525
Training,11,51,153,False,0.9096194077712558
Training,15,2,154,False,1.3395501881620098
Training,15,18,156,False,0.9948104290900959
Training,19,42,159,False,0.8724873734152915
Training,19,63,161,False,1.1656854249492379
Training,19,72,162,False,1.0255478107871032
Training,19,88,164,False,1.331370849898476
Training,57,1,165,False,1.3727922061357856
Training,57,1,166,False,1.0414213562373096
Training,57,1,167,False,1.0
Training,57,3,170,False,0.85
Training,57,8,173,False,0.1
Training,57,10,176,False,0.0
Training,57,10,177,False,0.525
Validation,8,8,0,False,1.5657951400805201
Validation,12,1,2,False,2.7076146410984014
Validation,20,0,4,False,1.9517220926874317
Validation,20,4,5,False,1.463566889100619
Validation,20,13,6,False,1.3824902742331635
Validation,20,46,7,False,1.7773588091058596
Validation,20,122,9,False,1.916053105543313
Validation,20,122,10,False,1.4142135623730951
Validation,5,31,16,False,1.3558778966770137
Validation,18,6,25,False,1.7551232905984322
Validation,18,6,26,False,0.925
Validation,7,22,30,False,2.268446810123355
Validation,11,0,33,False,1.5061208747436232
Validation,11,35,37,False,0.6
Validation,57,1,42,False,1.4142135623730951
Validation,57,1,43,False,1.6185174801415365
Training,4,2,1,False,1.2743189262775696
Training,4,2,2,False,1.1544298368613517
Training,4,2,3,False,0.8819424634460601
Training,4,2,4,False,1.2483638196833695
Training,8,8,6,False,1.521409601575238
Training,8,8,7,False,0.9285533905932738
Training,8,8,8,False,0.9139087296526011
Training,8,8,9,False,1.2859031498464306
Training,8,8,10,False,0.8783890728527863
Training,8,13,11,False,1.0196461113496085
Training,8,13,12,False,1.1641279049587294
Training,8,13,13,False,0.6283890728527863
Training,20,0,21,False,0.575
Training,20,0,22,False,0.8782247551122989
Training,20,3,24,False,1.1656854249492379
Training,20,5,25,False,0.525
Training,20,5,26,False,0.9871320343559642
Training,20,7,27,False,0.625
Training,20,9,28,False,0.27071067811865474
Training,20,12,30,False,0.9889087296526011
Training,20,12,31,False,1.1198104290900956
Training,20,12,32,False,1.1035533905932737
Training,20,12,33,False,0.6517766952966368
Training,20,12,34,False,0.7767766952966368
Training,20,12,35,False,0.7078427124746189
Training,20,12,36,False,0.9137444119121139
Training,20,12,37,False,1.246258488905758
Training,20,12,38,False,1.25721363397986
Training,20,13,39,False,1.0303300858899107
Training,20,13,40,False,0.7783890728527864
Training,20,15,41,False,0.5560660171779821
Training,20,16,42,False,1.1553300858899107
Training,20,16,43,False,0.5871320343559642
Training,20,16,44,False,0.9801657681494232
Training,20,19,45,False,1.063908729652601
Training,20,55,49,False,0.5680337337934589
Training,20,122,57,False,0.8928694160529715
Training,84,2,58,False,0.9207106781186548
Training,84,3,59,False,0.025
Training,84,5,60,False,0.175
Training,84,14,64,False,0.4
Training,84,14,65,False,0.7164213562373095
Training,84,48,69,False,0.7474873734152916
Training,5,31,77,False,1.5432529090995875
Training,9,16,82,False,0.7121320343559642
Training,6,12,97,False,1.0800014504089357
Training,10,0,98,False,0.4414213562373095
Training,10,0,99,False,0.7181980515339463
Training,10,0,100,False,0.793033733793459
Training,10,0,101,False,0.35
Training,18,1,105,False,0.8846194077712557
Training,18,2,106,False,1.0612317853274054
Training,18,2,107,False,1.1553300858899107
Training,18,2,108,False,0.6619677166154768
Training,18,2,109,False,0.25
Training,18,3,110,False,0.7990997509714411
Training,18,3,111,False,0.45
Training,18,3,112,False,0.6414213562373094
Training,18,3,113,False,0.9283890728527864
Training,18,6,114,False,0.6603553390593274
Training,18,16,115,False,0.5767766952966369
Training,3,0,120,False,0.7724873734152916
Training,3,1,121,False,0.807842712474619
Training,7,11,124,False,0.8783890728527863
Training,11,0,138,False,0.9048371326684486
Training,11,0,139,False,0.49571067811865477
Training,11,0,140,False,0.4707106781186548
Training,11,0,141,False,0.631066017177982
Training,11,28,145,False,0.75
Training,11,39,149,False,1.2812851924841104
Training,11,43,151,False,0.45
Training,11,51,153,False,1.0949747468305833
Training,15,2,154,False,1.126776695296637
Training,15,18,156,False,0.8490997509714411
Training,19,42,159,False,0.8930337337934591
Training,19,63,161,False,1.140685424949238
Training,19,72,162,False,0.782842712474619
Training,19,88,164,False,1.150876446268078
Training,57,1,165,False,0.0
Training,57,1,166,False,0.0
Training,57,1,167,False,0.0
Training,57,3,170,False,0.05
Training,57,8,173,False,1.025
Training,57,10,176,False,0.0
Training,57,10,177,False,0.35
Validation,8,8,0,False,0.8783890728527863
Validation,12,1,2,False,2.2854475532118697
Validation,20,0,4,False,0.8387444119121138
Validation,20,4,5,False,0.9267766952966369
Validation,20,13,6,False,1.0785533905932738
Validation,20,46,7,False,1.1842775672192738
Validation,20,122,9,False,1.2548371326684484
Validation,20,122,10,False,1.3935028842544404
Validation,5,31,16,False,1.057842712474619
Validation,18,6,25,False,0.9346194077712559
Validation,18,6,26,False,1.1335548410022096
Validation,7,22,30,False,1.4975422309809328
Validation,11,0,33,False,1.1007121285275905
Validation,11,35,37,False,0.3353553390593274
Validation,57,1,42,False,0.8131727983645298
Validation,57,1,43,False,0.8698104290900959
Training,4,2,1,False,0.9757121285275907
Training,4,2,2,False,1.0560660171779823
Training,4,2,3,False,0.506066017177982
Training,4,2,4,False,0.7621320343559642
Training,8,8,6,False,0.8016123775561497
Training,8,8,7,False,0.6707106781186548
Training,8,8,8,False,0.6267766952966369
Training,8,8,9,False,0.8931980515339465
Training,8,8,10,False,0.7369677166154769
Training,8,13,11,False,0.8739354332309539
Training,8,13,12,False,0.8033890728527864
Training,8,13,13,False,0.5414213562373095
Training,20,0,21,False,0.3853553390593274
Training,20,0,22,False,0.9298371326684485
Training,20,3,24,False,0.6353553390593274
Training,20,5,25,False,0.4310660171779821
Training,20,5,26,False,0.8533890728527863
Training,20,7,27,False,0.632842712474619
Training,20,9,28,False,0.2603553390593274
Training,20,12,30,False,0.6164213562373095
Training,20,12,31,False,1.088908729652601
Training,20,12,32,False,1.1553300858899107
Training,20,12,33,False,0.5810660171779821
Training,20,12,34,False,0.5621320343559641
Training,20,12,35,False,0.6414213562373094
Training,20,12,36,False,0.8328427124746189
Training,20,12,37,False,0.9446461113496085
Training,20,12,38,False,1.0360674675869181
Training,20,13,39,False,0.9931980515339465
Training,20,13,40,False,0.693033733793459
Training,20,15,41,False,0.4060660171779821
Training,20,16,42,False,1.0492640687119283
Training,20,16,43,False,0.6121320343559642
Training,20,16,44,False,0.7414213562373095
