Epoch,Train Loss
0,10.272163112520442
1,0.7870789838190492
2,0.6774105344496293
3,0.6598530819799852
4,0.5987942802947612
5,0.6331101184926685
6,0.5997484851737751
7,0.6444223139991143
8,0.6316394055786746
9,0.7540752636170006
10,0.7202892140242674
11,32.703960930015484
12,18.508184137777047
13,14.310739434501778
14,13.616939334358179
15,19.344528395871528
16,18.603102124368018
17,16.229065309196688
18,17.65895610763266
19,11.899705430565104
20,12.639340576543006
21,13.822773531709087
22,11.337354613388298
23,12.810824371980779
24,9.847495960324785
25,11.214569119481618
26,10.099176533567155
27,7.477989999545002
28,9.260735046376624
29,8.36570855440547
30,8.089199219120982
31,9.327399664622828
32,6.017249165456226
33,5.338954661591924
34,5.9552874847148765
35,5.843852166821576
36,5.033726663038252
37,5.0034514376602
38,4.2040767106542205
39,5.179836939222559
40,4.5266077076174325
41,3.9661978292381352
42,3.9981829205196817
43,3.907747673281344
44,3.4038250997469968
45,3.8439855277985124
46,3.99655542215617
47,3.618622746408614
48,3.5634482981207496
49,3.4097676689433576
50,3.2698186259872157
51,2.9874547713071333
52,3.2560266534718045
53,2.931283391297329
54,3.4891781415056355
55,3.7017702768525877
56,2.752782630539376
57,2.7340791130448023
58,2.8908885527004564
59,3.0855421817952267
